Doi,Novelty,Year
10.1371/journal.pone.0036323,-9.55814098655148,2012
10.1371/journal.pone.0038885,-7.647904556769204,2012
10.1371/journal.pone.0033778,-9.413999815651556,2012
10.1371/journal.pone.0031236,-6.948965598739792,2012
10.1371/journal.pone.0046557,6.85859480227222,2012
10.1371/journal.pone.0033792,-7.194751106274955,2012
10.1371/journal.pone.0038910,-6.915985554199106,2012
10.1371/journal.pone.0033802,-7.124702115053665,2012
10.1371/journal.pone.0041469,-6.989968148619232,2012
10.1371/journal.pone.0033805,-7.43441687903245,2012
10.1371/journal.pone.0033808,-10.255591169380232,2012
10.1371/journal.pone.0041476,-7.864428056383801,2012
10.1371/journal.pone.0044026,26.37445641588977,2012
10.1371/journal.pone.0046587,3.6008578851911857,2012
10.1371/journal.pone.0036373,-8.465962601543712,2012
10.1371/journal.pone.0038934,-8.663419126809677,2012
10.1371/journal.pone.0038946,-7.11389321226528,2012
10.1371/journal.pone.0031287,-8.984450939530044,2012
10.1371/journal.pntd.0001443,-7.215936570270019,2012
10.1371/journal.pone.0041504,-8.472058109461251,2012
10.1371/journal.pone.0036393,-7.090271459655248,2012
10.1371/journal.pntd.0001446,-7.022751298665415,2012
10.1371/journal.pone.0031293,-8.480750571377598,2012
10.1371/journal.pone.0033846,-9.143695095079195,2012
10.1371/journal.pone.0031299,-9.143695095079195,2012
10.1371/journal.pone.0033848,-8.108185993715693,2012
10.1371/journal.pone.0044067,156.1819725059032,2012
10.1371/journal.pone.0033855,-7.241400719394266,2012
10.1371/journal.pone.0038976,-9.545454545454543,2012
10.1371/journal.pone.0033861,-7.396797595993252,2012
10.1371/journal.pone.0033864,-11.094700670001748,2012
10.1371/journal.pone.0046640,-7.6213879273189375,2012
10.1371/journal.pntd.0001492,-7.410220129958248,2012
10.1371/journal.pone.0041547,-6.89745419735003,2012
10.1371/journal.pone.0031335,-8.84610465166633,2012
10.1371/journal.pone.0049251,135.19306941227498,2012
10.1371/journal.pone.0031351,-9.488267987771025,2012
10.1371/journal.pone.0031355,-7.1940955295012925,2012
10.1371/journal.pone.0036461,-7.983326719966255,2012
10.1371/journal.pone.0036464,-9.842476801377892,2012
10.1371/journal.pone.0041576,-7.051144748901055,2012
10.1371/journal.pone.0036485,-6.727314568100252,2012
10.1371/journal.pone.0031383,-7.633776321089465,2012
10.1371/journal.pone.0031384,-7.535940088210657,2012
10.1371/journal.pone.0039049,-10.832695645079204,2012
10.1371/journal.pone.0036488,-8.451691580634114,2012
10.1371/journal.pone.0033935,-7.127407851174564,2012
10.1371/journal.pone.0041610,-7.241400719394266,2012
10.1371/journal.pone.0041611,-7.764956657782388,2012
10.1371/journal.pntd.0001563,-7.022751298665415,2012
10.1371/journal.pntd.0001570,-7.410220129958249,2012
10.1371/journal.pone.0041629,-6.995056327736078,2012
10.1371/journal.pone.0033971,-7.670025842489198,2012
10.1371/journal.pone.0033973,-11.049458999149834,2012
10.1371/journal.pone.0033986,-6.82516236051399,2012
10.1371/journal.pone.0033987,-7.863773666438359,2012
10.1371/journal.pone.0041659,-8.552483525290265,2012
10.1371/journal.pone.0031447,4.183333333333333,2012
10.1371/journal.pone.0033997,-6.966799035480198,2012
10.1371/journal.pone.0033999,-8.168215473657135,2012
10.1371/journal.pone.0031457,-10.110693222565969,2012
10.1371/journal.pone.0031459,-7.003084787740077,2012
10.1371/journal.pone.0034007,-7.657219137918699,2012
10.1371/journal.pone.0041678,-7.843707164537291,2012
10.1371/journal.pone.0039126,-7.127407851174564,2012
10.1371/journal.pntd.0001627,-7.026905444960898,2012
10.1371/journal.pone.0039132,-7.864428056383801,2012
10.1371/journal.pone.0046789,33.46003431453894,2012
10.1371/journal.pone.0031482,-7.833620251094308,2012
10.1371/journal.pone.0034028,-9.201506951211831,2012
10.1371/journal.pone.0036583,-7.915789524389252,2012
10.1371/journal.pone.0034031,-8.663369763579773,2012
10.1371/journal.pone.0039151,-7.583007908012251,2012
10.1371/journal.pone.0031492,-7.715631759702342,2012
10.1371/journal.pone.0046812,235.34616042453035,2012
